zeitgeist_rank,clean_title,source,description,nyt_section,pillar
1,"Peter Magubane, Who Fought Apartheid With a Camera, Dies at 91",The New York Times,"He documented the cruelties of white South African rule, and he was made to pay for it, enduring beatings and 586 consecutive days in solitary confinement.",World,Politics & Civic Life
2,"Two retired justices swayed the Supreme Court ruling, beating a looming deadline.",The New York Times,,World,Politics & Civic Life
3,What Israel’s Supreme Court Justices Wrote in Their Landmark Ruling,The New York Times,"The full decision, which exceeded 250,000 words, marked the first time that Israel’s highest court had struck down a quasi-constitutional Basic Law.",World,Politics & Civic Life
4,Court Overturns  Netanyahu’s Bid  To Limit Justices,The New York Times,"The Supreme Court, by the narrowest of margins, rejected a law pushed by Netanyahu allies that limited its authority to review government decisions.",World,Politics & Civic Life
5,Tuesday Briefing: Israel’s Top Court Rejects Move to Limit It,The New York Times,Plus New Year’s offerings to the sea in Brazil.,Briefing,Politics & Civic Life
6,Busloads of Migrants Arrive in New Jersey To Avoid New York Rule,The New York Times,"Migrants, sent mostly from Texas, arrived at train stops outside New York City over the weekend to sidestep a new order limiting how they arrive.",New York,Politics & Civic Life
7,"In a battle over authority, Israel’s Supreme Court ruling sets a precedent.",The New York Times,,World,Politics & Civic Life
8,Powerful Earthquake Jolts Western Japan,The New York Times,"There were reports of collapsed buildings and people being trapped underneath them. The quake disrupted electricity and phone service, and initially raised fears of a tsunami.",World,Politics & Civic Life
9,Mychal Threets Wants Everyone to Experience ‘Library Joy’,The New York Times,The 33-year-old librarian from California has become popular on TikTok and Instagram with his upbeat take on libraries.,U.S.,Politics & Civic Life
10,5 Killed in Queens Car Crash on New Year’s Day,The New York Times,"The accident occurred on the Cross Island Parkway, along a part known for its dangerous curve, residents said.",New York,Lifestyle & Wellness
